,code,category
13,"public void user_method() throws Throwable (); user_methodB2G(); private void () throws Throwable int array[] =  0, 1, 2, 3, 4 ; IO.writeLine(array[user_variable]); private void user_methodB2G() throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); public int user_methodSource() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  URLConnection urlConnection = (new URL(""http://www.example.org/"")).openConnection(); InputStreamReader readerInputStream = null; readerInputStream = new InputStreamReader(urlConnection.getInputStream(), ""UTF-8""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); return user_variable; public int Source() throws Throwable int user_variable; user_variable = 2; return user_variable; public int user_methodB2GSource() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  URLConnection urlConnection = (new URL(""http://www.example.org/"")).openConnection(); InputStreamReader readerInputStream = null; readerInputStream = new InputStreamReader(urlConnection.getInputStream(), ""UTF-8""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); return user_variable;",non-vuln
14,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable (request, response); user_methodB2G(request, response); private void (HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = ""foo""; baseObject.action(user_variable , request, response); private void user_methodB2G(HttpServletRequest request, HttpServletResponse response) throws Throwable String user_variable; user_variable = System.getProperty(""user.home""); baseObject.action(user_variable , request, response); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); public void action(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", user_variable); response.addCookie(cookieSink); public abstract void action(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable; public void action(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", URLEncoder.encode(user_variable, ""UTF-8"")); response.addCookie(cookieSink); public void action(String user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable if (user_variable != null) Cookie cookieSink = new Cookie(""lang"", user_variable); response.addCookie(cookieSink);",non-vuln
15,"public void user_method() throws Throwable (); user_methodB2G(); private void () throws Throwable int user_variableCopy; int user_variable; user_variable = 2; user_variableCopy = user_variable; int user_variable = user_variableCopy; int array[] =  0, 1, 2, 3, 4 ; if (user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); private void user_methodB2G() throws Throwable int user_variableCopy; int user_variable; user_variable = Integer.MIN_VALUE;  URLConnection urlConnection = (new URL(""http://www.example.org/"")).openConnection(); InputStreamReader readerInputStream = null; readerInputStream = new InputStreamReader(urlConnection.getInputStream(), ""UTF-8""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); user_variableCopy = user_variable; int user_variable = user_variableCopy; int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); private void user_methodSink(int user_variable ) throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds"");",non-vuln
16,"public void user_method() throws Throwable (); user_methodB2G(); private void () throws Throwable int array[] =  0, 1, 2, 3, 4 ; IO.writeLine(array[user_variable]); private void user_methodB2G() throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); public int user_methodSource() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  Properties properties = new Properties(); FileInputStream streamFileInput = null; streamFileInput = new FileInputStream(""../common/config.properties""); properties.load(streamFileInput); String stringNumber = properties.getProperty(""user_variable""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (streamFileInput != null) streamFileInput.close(); IO.logger.log(Level.WARNING, ""Error closing FileInputStream"", exceptIO); return user_variable; public int Source() throws Throwable int user_variable; user_variable = 2; return user_variable; public int user_methodB2GSource() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  Properties properties = new Properties(); FileInputStream streamFileInput = null; streamFileInput = new FileInputStream(""../common/config.properties""); properties.load(streamFileInput); String stringNumber = properties.getProperty(""user_variable""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (streamFileInput != null) streamFileInput.close(); IO.logger.log(Level.WARNING, ""Error closing FileInputStream"", exceptIO); return user_variable;",non-vuln
17,"public void user_methodB2G1Sink(int user_variable ) throws Throwable user_variable = 0; int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) array[user_variable] = 42; IO.writeLine(""Array index out of bounds"");",non-vuln
18,"public void user_method() throws Throwable (); user_methodB2G(); private void () throws Throwable int array[] =  0, 1, 2, 3, 4 ; array[user_variable] = 42; private void user_methodB2G() throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) array[user_variable] = 42; IO.writeLine(""Array index out of bounds""); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); public int user_methodSource() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  InputStreamReader readerInputStream = null; readerInputStream = new InputStreamReader(System.in, ""UTF-8""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); return user_variable; public int Source() throws Throwable int user_variable; user_variable = 2; return user_variable; public int user_methodB2GSource() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  InputStreamReader readerInputStream = null; readerInputStream = new InputStreamReader(System.in, ""UTF-8""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); return user_variable;",non-vuln
19,"public void user_method() throws Throwable (); user_methodB2G(); private void () throws Throwable int user_variable; user_variable = 2; baseObject.action(user_variable ); private void user_methodB2G() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  InputStreamReader readerInputStream = null; readerInputStream = new InputStreamReader(System.in, ""UTF-8""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); baseObject.action(user_variable ); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); public void action(int user_variable ) throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); public abstract void action(int user_variable ) throws Throwable; public void action(int user_variable ) throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); public void action(int user_variable ) throws Throwable int array[] =  0, 1, 2, 3, 4 ; if (user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds"");",non-vuln
20,"public void user_method(HttpServletRequest request, HttpServletResponse response) throws Throwable (request, response); user_methodB2G(request, response); private void (HttpServletRequest request, HttpServletResponse response) throws Throwable int user_variableCopy; int user_variable; user_variable = 2; user_variableCopy = user_variable; int user_variable = user_variableCopy; int array[] =  0, 1, 2, 3, 4 ; IO.writeLine(array[user_variable]); private void user_methodB2G(HttpServletRequest request, HttpServletResponse response) throws Throwable int user_variableCopy; int user_variable; user_variable = Integer.MIN_VALUE;  String stringNumber = request.getParameter(""name""); user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception reading user_variable from parameter 'name'"", exceptNumberFormat); user_variableCopy = user_variable; int user_variable = user_variableCopy; int array[] =  0, 1, 2, 3, 4 ; if (user_variable >= 0 && user_variable < array.length) IO.writeLine(array[user_variable]); IO.writeLine(""Array index out of bounds""); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args); private void user_methodSink(int user_variable , HttpServletRequest request, HttpServletResponse response) throws Throwable int array[] =  0, 1, 2, 3, 4 ; IO.writeLine(array[user_variable]);",non-vuln
21,"public void user_method() throws Throwable (); user_methodB2G(); private void () throws Throwable int user_variable; user_variable = 2; int[] user_variableArray = new int[5]; user_variableArray[2] = user_variable; private void user_methodB2G() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  String stringNumber = System.getenv(""ADD""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); int[] user_variableArray = new int[5]; user_variableArray[2] = user_variable; public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args);",non-vuln
22,public void user_method() throws Throwable int user_variable; user_variable = (new SecureRandom()).nextInt(); Container user_variableContainer = new Container(); user_variableContainer.containerOne = user_variable;,non-vuln
23,"public void user_method() throws Throwable (); user_methodB2G(); private void () throws Throwable int user_variable; user_variable = 2; int array[] = null; if (user_variable >= 0) array = new int[user_variable]; IO.writeLine(""Array size is negative""); array[0] = 5; IO.writeLine(array[0]); private void user_methodB2G() throws Throwable int user_variable; user_variable = Integer.MIN_VALUE;  ServerSocket listener = null; Socket user_variable = null; InputStreamReader readerInputStream = null; listener = new ServerSocket(39543); user_variable = listener.accept(); readerInputStream = new InputStreamReader(user_variable.getInputStream(), ""UTF-8""); if (stringNumber != null) // avoid NPD incidental warnings user_variable = Integer.parseInt(stringNumber.trim()); IO.logger.log(Level.WARNING, ""Number format exception parsing user_variable from string"", exceptNumberFormat); IO.logger.log(Level.WARNING, ""Error with stream reading"", exceptIO); if (readerInputStream != null) readerInputStream.close(); IO.logger.log(Level.WARNING, ""Error closing InputStreamReader"", exceptIO); if (user_variable != null) user_variable.close(); IO.logger.log(Level.WARNING, ""Error closing Socket"", exceptIO); if (listener != null) listener.close(); IO.logger.log(Level.WARNING, ""Error closing ServerSocket"", exceptIO); int array[] = null; if (user_variable > 0) array = new int[user_variable]; IO.writeLine(""Array size is negative""); array[0] = 5; IO.writeLine(array[0]); public static void main(String[] args) throws ClassNotFoundException, InstantiationException, IllegalAccessException mainFromParent(args);",non-vuln
